orderAmount,orderState,paymentMethodRegistrationFailure,paymentMethodType,paymentMethodProvider,paymentMethodIssuer,transactionAmount,transactionFailed,fraudulent,emailDomain,emailProvider,customerIPAddressSimplified,sameCity
"(9.999, 18.2]",pending,True,card,JCB,Citizens First Banks,"(9.999, 25.0]",False,0,com,yahoo,only_numbers,yes
"(18.2, 30.4]",fulfilled,True,other,VISA,Solace Banks,"(25.0, 41.0]",False,1,com,yahoo,only_numbers,no
"(39.0, 47.0]",fulfilled,False,card,VISA,Vertex Bancorp,"(41.0, 75.0]",False,0,com,yahoo,digits_and_letters,no
"(18.2, 30.4]",fulfilled,False,card,Diners Club / Carte Blanche,His Majesty Bank Corp.,"(9.999, 25.0]",False,0,com,yahoo,digits_and_letters,no
"(39.0, 47.0]",fulfilled,False,card,Mastercard,Vertex Bancorp,"(41.0, 75.0]",True,1,com,other,only_numbers,no
"(30.4, 39.0]",failed,False,other,American Express,Bastion Banks,"(25.0, 41.0]",False,1,com,other,only_numbers,no
"(18.2, 30.4]",fulfilled,False,card,Maestro,Her Majesty Trust,"(9.999, 25.0]",True,1,com,other,only_numbers,no
"(18.2, 30.4]",fulfilled,False,card,JCB,Fountain Financial Inc.,"(9.999, 25.0]",False,1,com,gmail,only_numbers,no
"(30.4, 39.0]",fulfilled,False,card,JCB,Bastion Banks,"(9.999, 25.0]",True,0,com,other,digits_and_letters,unknown
"(18.2, 30.4]",fulfilled,False,card,Discover,His Majesty Bank Corp.,"(9.999, 25.0]",False,1,info,other,only_numbers,no
"(18.2, 30.4]",fulfilled,False,card,Voyager,Grand Credit Corporation,"(25.0, 41.0]",False,1,com,yahoo,only_numbers,no
"(47.0, 353.0]",fulfilled,False,other,American Express,Grand Credit Corporation,"(25.0, 41.0]",False,0,com,hotmail,only_numbers,no
"(47.0, 353.0]",fulfilled,False,other,JCB,His Majesty Bank Corp.,"(9.999, 25.0]",False,0,org,other,digits_and_letters,no
"(47.0, 353.0]",failed,False,other,VISA,His Majesty Bank Corp.,"(41.0, 75.0]",False,0,com,other,only_numbers,no
"(39.0, 47.0]",fulfilled,False,card,JCB,Bastion Banks,"(41.0, 75.0]",True,0,info,other,digits_and_letters,no
"(47.0, 353.0]",fulfilled,False,card,VISA,Grand Credit Corporation,"(41.0, 75.0]",False,1,com,gmail,only_numbers,no
"(47.0, 353.0]",fulfilled,False,card,JCB,Solace Banks,"(41.0, 75.0]",True,0,com,yahoo,only_numbers,no
"(30.4, 39.0]",fulfilled,False,other,JCB,weird,"(41.0, 75.0]",False,0,com,other,only_numbers,no
"(18.2, 30.4]",pending,False,card,VISA,weird,"(41.0, 75.0]",False,0,com,hotmail,digits_and_letters,no
"(39.0, 47.0]",fulfilled,False,other,VISA,weird,"(25.0, 41.0]",False,0,biz,other,only_numbers,no
"(47.0, 353.0]",fulfilled,False,card,JCB,weird,"(9.999, 25.0]",False,0,net,other,only_numbers,no
"(30.4, 39.0]",failed,False,card,VISA,Her Majesty Trust,"(25.0, 41.0]",True,0,com,other,only_numbers,no
"(47.0, 353.0]",fulfilled,False,other,Voyager,Bulwark Trust Corp.,"(25.0, 41.0]",False,0,com,hotmail,only_numbers,no
"(47.0, 353.0]",fulfilled,False,card,Discover,Her Majesty Trust,"(41.0, 75.0]",True,1,com,hotmail,only_numbers,no
"(47.0, 353.0]",fulfilled,False,other,Mastercard,His Majesty Bank Corp.,"(41.0, 75.0]",False,0,com,yahoo,digits_and_letters,no
"(18.2, 30.4]",fulfilled,False,card,Discover,weird,"(25.0, 41.0]",False,0,biz,other,only_numbers,unknown
"(18.2, 30.4]",pending,False,card,American Express,Bastion Banks,"(41.0, 75.0]",False,0,com,gmail,only_numbers,unknown
"(39.0, 47.0]",fulfilled,False,other,Maestro,Vertex Bancorp,"(41.0, 75.0]",True,0,com,other,digits_and_letters,unknown
"(9.999, 18.2]",pending,False,card,VISA,Her Majesty Trust,"(41.0, 75.0]",False,0,com,yahoo,only_numbers,no
"(39.0, 47.0]",failed,False,card,Discover,Vertex Bancorp,"(9.999, 25.0]",False,1,com,gmail,digits_and_letters,no
"(9.999, 18.2]",fulfilled,False,other,VISA,Citizens First Banks,"(9.999, 25.0]",True,0,com,hotmail,digits_and_letters,no
"(9.999, 18.2]",fulfilled,False,card,VISA,Vertex Bancorp,"(9.999, 25.0]",True,0,com,hotmail,only_numbers,no
"(9.999, 18.2]",fulfilled,False,card,VISA,Her Majesty Trust,"(9.999, 25.0]",True,1,weird,weird,digits_and_letters,no
